rsi_column,threshold,direction,trades,win_rate,avg_gain
rsi,45.0,short,1231,52.07,-0.0005
rsi,45.5,short,1354,51.85,-0.00034
rsi,46.0,short,1461,51.06,-7e-05
rsi,47.5,short,1772,50.73,-0.00022
rsi,46.5,short,1572,50.7,2e-05
rsi,47.0,short,1668,50.66,-7e-05
rsi,48.0,short,1892,50.53,-0.00019
rsi,48.5,short,1999,49.92,5e-05
rsi,49.5,short,2255,49.45,0.00028
rsi,50.5,short,2512,49.44,0.00024
rsi,50.0,short,2381,49.31,0.00025
rsi,49.0,short,2128,49.25,0.00033
rsi,51.0,short,2637,49.18,0.00029
rsi,55.0,short,3545,48.74,0.00049
rsi,52.5,short,2966,48.72,0.00041
rsi,52.0,short,2854,48.7,0.00045
rsi,54.0,short,3331,48.63,0.00051
rsi,53.5,short,3200,48.62,0.00047
rsi,54.5,short,3439,48.53,0.00058
rsi,51.5,short,2739,48.52,0.0005
rsi,53.0,short,3095,48.5,0.00054
stoch_rsi,45.0,short,4921,48.36,0.00086
stoch_rsi,45.5,short,4921,48.36,0.00086
stoch_rsi,46.0,short,4921,48.36,0.00086
stoch_rsi,46.5,short,4921,48.36,0.00086
stoch_rsi,47.0,short,4921,48.36,0.00086
stoch_rsi,47.5,short,4921,48.36,0.00086
stoch_rsi,48.0,short,4921,48.36,0.00086
stoch_rsi,48.5,short,4921,48.36,0.00086
stoch_rsi,49.0,short,4921,48.36,0.00086
stoch_rsi,49.5,short,4921,48.36,0.00086
stoch_rsi,50.0,short,4921,48.36,0.00086
stoch_rsi,50.5,short,4921,48.36,0.00086
stoch_rsi,51.0,short,4921,48.36,0.00086
stoch_rsi,51.5,short,4921,48.36,0.00086
stoch_rsi,52.0,short,4921,48.36,0.00086
stoch_rsi,52.5,short,4921,48.36,0.00086
stoch_rsi,53.0,short,4921,48.36,0.00086
stoch_rsi,53.5,short,4921,48.36,0.00086
stoch_rsi,54.0,short,4921,48.36,0.00086
stoch_rsi,54.5,short,4921,48.36,0.00086
stoch_rsi,55.0,short,4921,48.36,0.00086
