threshold,rule,direction,trades,win_rate,avg_gain
45.0,RSI_all_≤_45.0,short,1231,52.07,-0.0005
45.5,RSI_all_≤_45.5,short,1354,51.85,-0.00034
46.0,RSI_all_≤_46.0,short,1461,51.06,-7e-05
47.5,RSI_all_≤_47.5,short,1772,50.73,-0.00022
46.5,RSI_all_≤_46.5,short,1572,50.7,2e-05
47.0,RSI_all_≤_47.0,short,1668,50.66,-7e-05
48.0,RSI_all_≤_48.0,short,1892,50.53,-0.00019
48.5,RSI_all_≤_48.5,short,1999,49.92,5e-05
49.5,RSI_all_≤_49.5,short,2255,49.45,0.00028
50.5,RSI_all_≤_50.5,short,2512,49.44,0.00024
50.0,RSI_all_≤_50.0,short,2381,49.31,0.00025
49.0,RSI_all_≤_49.0,short,2128,49.25,0.00033
51.0,RSI_all_≤_51.0,short,2637,49.18,0.00029
55.0,RSI_all_≤_55.0,short,3545,48.74,0.00049
52.5,RSI_all_≤_52.5,short,2966,48.72,0.00041
52.0,RSI_all_≤_52.0,short,2854,48.7,0.00045
54.0,RSI_all_≤_54.0,short,3331,48.63,0.00051
53.5,RSI_all_≤_53.5,short,3200,48.62,0.00047
54.5,RSI_all_≤_54.5,short,3439,48.53,0.00058
51.5,RSI_all_≤_51.5,short,2739,48.52,0.0005
53.0,RSI_all_≤_53.0,short,3095,48.5,0.00054
